משפחה,תאור מחסן,מחסן,כמות,מק'ט
68.0,מחסן פגומים,06,2.0,68901313YAS
68.0,מחסן פגומים,06,1.0,68902406YAS
68.0,מחסן פגומים,06,8.0,68941400SISMAK
68.0,מחסן ראשי,Main,-1.0,68941402SISMAK
68.0,מחסן פגומים,06,1.0,68941404GSP
68.0,מחסן ראשי,Main,1.0,68941404GSP
68.0,מחסן ראשי,Main,-1.0,68941404SISMAK
68.0,מחסן פגומים,06,3.0,68941404SISMAK
68.0,מחסן פגומים,06,4.0,68941406GSP
68.0,מחסן פגומים,06,6.0,68941409YAS
68.0,מחסן פגומים,06,7.0,68941411YAS
68.0,מחסן ראשי,Main,67.0,68941411YAS
68.0,מחסן ראשי,Main,3.0,68941616KOR
68.0,מחסן פגומים,06,1.0,68941804GSP
68.0,מחסן ראשי,Main,4.0,68941804GSP
68.0,מחסן פגומים,06,2.0,68941808SISMAK
68.0,מחסן פגומים,06,6.0,68941810SISMAK
68.0,מחסן ראשי,Main,1.0,68941811YAS
68.0,מחסן פגומים,06,1.0,68941849YAS
68.0,מחסן פגומים,06,1.0,68941906SISMAK
68.0,מחסן ראשי,Main,28.0,68962828GSP
69.0,מחסן ראשי,Main,-1.0,69020502OCAP
69.0,מחסן ראשי,Main,6.0,69020506ER
69.0,מחסן ראשי,Main,1.0,69020506OCAP
69.0,מחסן ראשי,Main,2.0,69020508ER
69.0,מחסן ראשי,Main,11.0,69020510ER
69.0,מחסן ראשי,Main,10.0,69020512ER
69.0,מחסן ראשי,Main,19.0,69020514ER
69.0,מחסן פגומים,06,1.0,69020516ER
69.0,מחסן ראשי,Main,18.0,69020516ER
69.0,מחסן ראשי,Main,2.0,69020516OCAP
69.0,מחסן ראשי,Main,-24.0,69020517GSP
69.0,מחסן ראשי,Main,26.0,69020518ER
69.0,מחסן ראשי,Main,46.0,69020519BAW
69.0,מחסן פגומים,06,2.0,69020520ER
69.0,מחסן ראשי,Main,25.0,69020520ER
69.0,מחסן ראשי,Main,18.0,69020522ER
69.0,מחסן ראשי,Main,2.0,69020522OCAP
69.0,מחסן פגומים,06,1.0,69020523BAW
69.0,מחסן ראשי,Main,7.0,69020523BAW
69.0,מחסן ראשי,Main,15.0,69020523ER
69.0,מחסן ראשי,Main,15.0,69020524ER
69.0,מחסן ראשי,Main,16.0,69020525ER
69.0,מחסן ראשי,Main,2.0,69020526ER
69.0,מחסן ראשי,Main,23.0,69020527BAW
69.0,מחסן ראשי,Main,4.0,69020528ER
69.0,מחסן ראשי,Main,12.0,69020530ER
69.0,מחסן ראשי,Main,75.0,69020531BAW
69.0,מחסן ראשי,Main,22.0,69020532ER
69.0,מחסן ראשי,Main,2.0,69020534ER
69.0,מחסן ראשי,Main,103.0,69020535BAW
69.0,מחסן ראשי,Main,0.0,69020536ER
69.0,מחסן פגומים,06,1.0,69020536ER
69.0,מחסן ראשי,Main,1.0,69020536OCAP
69.0,מחסן ראשי,Main,-1.0,69020537GSP
69.0,מחסן ראשי,Main,9.0,69020539BAW
69.0,מחסן ראשי,Main,-1.0,69020541GSP
69.0,מחסן ראשי,Main,-2.0,69020543BAW
69.0,מחסן ראשי,Main,22.0,69020702ER
69.0,מחסן ראשי,Main,21.0,69020703ER
69.0,מחסן ראשי,Main,20.0,69020704ER
69.0,מחסן ראשי,Main,21.0,69020705ER
69.0,מחסן ראשי,Main,2.0,69020738ER
69.0,מחסן ראשי,Main,7.0,69020740ER
69.0,מחסן ראשי,Main,7.0,69020742ER
69.0,מחסן ראשי,Main,7.0,69020744ER
69.0,מחסן ראשי,Main,14.0,69020746ER
69.0,מחסן ראשי,Main,38.0,69020747BAW
69.0,מחסן ראשי,Main,13.0,69020748ER
69.0,מחסן ראשי,Main,45.0,69020749BAW
69.0,מחסן ראשי,Main,16.0,69020750ER
69.0,מחסן ראשי,Main,27.0,69020751BAW
69.0,מחסן ראשי,Main,14.0,69020752ER
69.0,מחסן ראשי,Main,10.0,69020753BAW
69.0,מחסן ראשי,Main,14.0,69020754ER
69.0,מחסן ראשי,Main,76.0,69020755BAW
69.0,מחסן ראשי,Main,13.0,69020757BAW
69.0,מחסן ראשי,Main,5.0,69020759BAW
69.0,מחסן ראשי,Main,27.0,69020906ER
69.0,מחסן ראשי,Main,27.0,69020908ER
69.0,מחסן ראשי,Main,34.0,69020910ER
69.0,מחסן ראשי,Main,32.0,69020912ER
69.0,מחסן ראשי,Main,2.0,69020930OCAP
69.0,מחסן פגומים,06,1.0,69021102ER
69.0,מחסן ראשי,Main,11.0,69021104ER
69.0,מחסן ראשי,Main,4.0,69021105ER
69.0,מחסן ראשי,Main,1.0,69140118OCAP
69.0,מחסן ראשי,Main,4.0,69140120ER
69.0,מחסן ראשי,Main,1.0,69140120OCAP
69.0,מחסן ראשי,Main,4.0,69140121ER
69.0,מחסן ראשי,Main,1.0,69140122OCAP
69.0,מחסן ראשי,Main,1.0,69140124OCAP
69.0,מחסן ראשי,Main,5.0,69140138ER
69.0,מחסן ראשי,Main,11.0,69140140ER
69.0,מחסן ראשי,Main,0.0,69140142ER
69.0,מחסן פגומים,06,1.0,69140142ER
69.0,מחסן פגומים,06,1.0,69140144ER
69.0,מחסן ראשי,Main,2.0,69140144ER
69.0,מחסן ראשי,Main,6.0,69140203ER
