מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
35040357LPR,ד.ב קד אסקונה/אומגה 1.8 עד 92/קדט/דייהו רייסר,05P019,פעיל,0.000,0.000,0.000,0.000,3.000,0.000,-3.00,0.00,VV,,560552,0.00,0.00,0.00,יח',0.00,
35040359LPR,ד.ב קד אסטרה עד 97/קורסה 92-00/טיגרה/דייהו לנוס עד 98,05P599,פעיל,35.000,0.000,0.000,0.000,8.000,0.000,27.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040361LPR,ד.ב אח אסטרה 98-01,05P699,פעיל,5.000,0.000,0.000,0.000,6.000,0.000,-1.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040363LPR,ד.ב קד אסטרה 98-04 צלחת 4 ברגים,05P698,פעיל,17.000,0.000,0.000,0.000,10.000,0.000,7.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040365LPR,ד.ב קד אסטרה 98-04 דיזל/זפירה/צלחת 5 ברגים,05P690,פעיל,16.000,0.000,0.000,0.000,8.000,0.000,8.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040366LPR,ד.ב קד אסטרה 10+ דיזל/קרוז 1.6 טורבו 11+/מוקה/טראקס,05P1562,פעיל,0.000,0.000,0.000,0.000,11.000,0.000,-11.00,0.00,VV,,560552,1.00,0.00,0.00,יח',10.89,EUR
35040367LPR,ד.ב אח אסטרה 02+/זפירה/פיקנטו 12+,05P811,פעיל,2.000,0.000,0.000,0.000,4.000,0.000,-2.00,0.00,VV,,560552,0.00,0.00,0.00,יח',0.00,EUR
35040369LPR,ד.ב קד אסטרה 05-10,05P1197,פעיל,14.000,0.000,0.000,0.000,8.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
35040371LPR,ד.ב אח אסטרה 11+/קרוז 08+/אורלנדו דיזל 2.0 12+,05P1575,פעיל,30.000,0.000,0.000,0.000,26.000,0.000,4.00,0.00,VV,,560552,2.00,0.00,0.00,יח',0.00,EUR
35040373LPR,ד.ב קד אסטרה 11+/זפירה 12+/מוקה T 1.4/שברולט אורלנדו,05P1581,פעיל,40.000,0.000,0.000,0.000,26.000,0.000,14.00,0.00,VVV,,560552,2.00,1.00,0.00,יח',0.00,EUR
35040374MATEC,ד.ב אח אסטרה 11+/קרוז 08+/אורלנדו דיזל 2.0 12+,FT140616,פעיל,5.000,0.000,0.000,0.000,6.000,0.000,-1.00,2.00,VV,,430552,0.00,0.00,0.00,יח',4.13,$
35040375MATEC,ד.ב קד אסטרה 11+/זפירה 12+/מוקה T 1.4/שברולט אורלנדו,FT140419,פעיל,1.000,0.000,0.000,0.000,11.000,0.000,-10.00,0.00,VVV,,430552,0.00,0.00,0.00,יח',5.50,$
35040408MATEC,ד.ב קד אסקונה/אומגה 1.8 עד 92/קדט/דייהו רייסר,FT045015,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35040577LPR,ד.ב קד ויוארו 02+/טראפיק 02+,05P869,פעיל,4.000,0.000,0.000,0.000,7.000,0.000,-3.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
