מס' ספק,תאריך ההזמנה,כמות,יתרה לאספקה,הזמנת רכש,מק'ט,תאור מוצר,סכום (שח),סטטוס הזמנה,סטטוס שורת הזמנת רכש
255001,02/10/2024,200,200,PO24000024,35681317MATEC,ד.ב קד סוויפט 06-10/ספלאש/מיקרה/נוט/קליאו/אקו מיקרה,2648.64,אושרה,
255001,02/10/2024,200,200,PO24000024,35780714MATEC,ד.ב אח גולף 13+/ג'טה 17 Q2/+13 A3/+12+,2859.93,אושרה,
255001,02/10/2024,200,200,PO24000024,35941421MATEC,ד.ב קד מגאן 16+ גרנד קופה,3199.50,אושרה,
255001,02/10/2024,200,200,PO24000024,35941437MATEC,ד.ב קד מגאן 09+/פלואנס/גרנד סניק 09+/קפצ'ור 13+/דאסטר,3418.33,אושרה,
255001,02/10/2024,300,300,PO24000024,35371505MATEC,ד.ב קד קורולה 08+/יאריס ורסו ספייס 11+,5025.63,אושרה,
255001,02/10/2024,300,300,PO24000024,35390771MATEC,ד.ב קד I35/I25/וולוסטר/ריו 12 I30/+12+,5002.99,אושרה,
255001,02/10/2024,300,300,PO24000024,35391717MATEC,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,5048.27,אושרה,
255001,02/10/2024,300,300,PO24000024,35821225MATEC,ד.ב קד פוקוס 06+/מזדה 3/מזדה 04 S40/5+,5568.94,אושרה,
255001,02/10/2024,1000,1000,PO24000024,35780767MATEC,ד.ב אח גולף/בורה/פאסאט/פלואנס/סופרב/ראפיד/ארונה/סקאלה/C4/,12111.33,אושרה,
255042,21/08/2024,0,0,PO24000017,41371528LONGKOU,צ.ב קד קורולה 19+ קוטר 282,0.00,סגורה,
255042,21/08/2024,24,24,PO24000017,41551355LONGKOU,צ.ב קד אקו מיקרה 11+ קוטר 259,590.45,סגורה,
255042,21/08/2024,36,36,PO24000017,41551998LONGKOU,צ.ב קד קשקאי 08+/קולאוס 09+ קוטר 320,1580.44,סגורה,
255042,21/08/2024,36,36,PO24000017,41961971LONGKOU,צ.ב קד מליבו 05+ קוטר 296 לרכב עם צלחת מאחורה,1264.88,סגורה,סופק
255042,21/08/2024,54,54,PO24000017,41581106LONGKOU,צ.ב קד קודיאק 16+ קוטר 314,2364.70,סגורה,
255042,21/08/2024,72,72,PO24000017,41821291LONGKOU,צ.ב אח פוקוס 11+ קוטר 271,1713.03,סגורה,סופק
255042,21/08/2024,88,88,PO24000017,41580117LONGKOU,צ.ב אח אוקטביה 05+/יטי/גולף 05+/ג'טה A3/+05 קוטר 255,1581.62,סגורה,
255042,21/08/2024,88,88,PO24000017,41580117LONGKOU,צ.ב אח אוקטביה 05+/יטי/גולף 05+/ג'טה A3/+05 קוטר 255,1581.62,סגורה,סופק
255042,21/08/2024,92,92,PO24000017,41681305LONGKOU,צ.ב קד סוויפט 06-10/ספלאש 09+ קוטר 252,1988.96,סגורה,
255042,21/08/2024,92,92,PO24000017,41681305LONGKOU,צ.ב קד סוויפט 06-10/ספלאש 09+ קוטר 252,1988.96,סגורה,סופק
255042,21/08/2024,96,96,PO24000017,41551355LONGKOU,צ.ב קד אקו מיקרה 11+ קוטר 259,2361.83,סגורה,סופק
255042,21/08/2024,108,108,PO24000017,41390167LONGKOU,צ.ב קד ראב 4 07+/קמרי 07+/אוריס 1.8 11+ קוטר 296,3758.86,סגורה,סופק
255042,21/08/2024,108,108,PO24000017,41392263LONGKOU,צ.ב קד IX35/טוסון 09+/ספורטאג' 11+/סונטה 06+ קוטר 300,4244.14,סגורה,סופק
255042,21/08/2024,108,108,PO24000017,41490889LONGKOU,צ.ב קד האנטר 07+/האנטר 15+ קוטר 294,3412.81,סגורה,סופק
255042,21/08/2024,108,108,PO24000017,41580111LONGKOU,צ.ב קד אוקטביה 05+/גולף 05+/ג'טה 05+/טולדו 05+ קוטר 280,2672.97,סגורה,סופק
255042,21/08/2024,108,108,PO24000017,41680257LONGKOU,צ.ב קד 07 SX4+ קוטר 280,2804.23,סגורה,סופק
255042,21/08/2024,120,120,PO24000017,41260867LONGKOU,צ.ב קד סיריון 08+/מטריה קוטר 254,2695.95,סגורה,סופק
255042,21/08/2024,120,120,PO24000017,41551251LONGKOU,צ.ב קד מיקרה 06-10/נוט 06+/קליאו 06+/לוגאן 06+ קוטר 260,2837.38,סגורה,סופק
255042,21/08/2024,120,120,PO24000017,41901967LONGKOU,"צ.ב קד ריו 1.4 בנזין מI20 12 1.0 מ19 280 מ""מ קיה סטוניק מ17",3327.95,סגורה,סופק
255042,21/08/2024,120,120,PO24000017,41941408LONGKOU,צ.ב אח מגאן 16+ קוטר 260 עם מיסב,8211.61,סגורה,
255042,21/08/2024,128,128,PO24000017,41390381LONGKOU,צ.ב קד 08-13 I10/פיקנטו 11+ קוטר 241,2456.11,סגורה,סופק
255042,21/08/2024,192,192,PO24000017,41371537LONGKOU,צ.ב קד קורולה 13+/אוריס 14+ קוטר 277,5883.37,סגורה,סופק
255042,21/08/2024,192,192,PO24000017,41781414LONGKOU,צ.ב קד ארונה/פולו 1.0 17+/איביזה 1.0 17+/סקאלה/קוטר 276,5784.37,סגורה,סופק
255042,21/08/2024,216,216,PO24000017,41391775LONGKOU,צ.ב יונדאי טוסון מ21 קוטר 325,7318.85,סגורה,סופק
255042,21/08/2024,240,240,PO24000017,41371641LONGKOU,צ.ב אח קורולה 13+/אוריס 08+ קוטר 270,5056.02,סגורה,
255042,21/08/2024,240,240,PO24000017,41580109LONGKOU,צ.ב קד פביה עד 16/ אוקטביה 98-04 בנזין/גולף קוטר 256,5462.62,סגורה,סופק
255042,21/08/2024,252,252,PO24000017,41391735LONGKOU,צ.ב קד I30 עד 11/טוסון עד 08/סונטה 05+/ ספורטאג' קוטר 280,7888.98,סגורה,סופק
255042,21/08/2024,252,252,PO24000017,41641221LONGKOU,צ.ב קד ברלינגו 08+/פרטנר 308/+08 07+ קוטר 283,7573.42,סגורה,סופק
255042,21/08/2024,288,288,PO24000017,41681600LONGKOU,צ.ב קד קרוסאובר/ויטרה 11 SX4/1.6 +15+ קוטר 280,7287.03,סגורה,
