משפחה,תאור משפחה,שעות עבודה,מק'ט,תאור מוצר
01,"משאבת בלם, מגבר בלם וקליפר",,01020407,מגבר בלם מח אאודי 3A
01,"משאבת בלם, מגבר בלם וקליפר",,01020425,מש בלם מח אאודי A3
01,"משאבת בלם, מגבר בלם וקליפר",,01020437,קליפר מח אאודי A3
01,"משאבת בלם, מגבר בלם וקליפר",,01020510,מגבר בלם מח אאודי 4A
01,"משאבת בלם, מגבר בלם וקליפר",,01020519,מגבר בלם מח אאודי A4 כפול
01,"משאבת בלם, מגבר בלם וקליפר",,01020528,מש בלם מח אאודי A4
01,"משאבת בלם, מגבר בלם וקליפר",,01020540,קליפר מח אאודי A4
01,"משאבת בלם, מגבר בלם וקליפר",,01020713,מגבר בלם מח אאודי 6-A
01,"משאבת בלם, מגבר בלם וקליפר",,01020916,מגבר בלם מח אאודי 8-A
01,"משאבת בלם, מגבר בלם וקליפר",,01020931,מש בלם מח אאודי 8-A / 6-A
01,"משאבת בלם, מגבר בלם וקליפר",,01020943,קליפר מח אאודי 8-A / 6-A
01,"משאבת בלם, מגבר בלם וקליפר",,010246,משאבת מצמד עליונה אאודי
01,"משאבת בלם, מגבר בלם וקליפר",,010249,משאבת מצמד תחתונה אאודי
01,"משאבת בלם, מגבר בלם וקליפר",,01030143,מגבר בלם מח איפון
01,"משאבת בלם, מגבר בלם וקליפר",,01030255,מש בלם מח איסוזו דימקס
01,"משאבת בלם, מגבר בלם וקליפר",,01030346,מגבר בלם מח טרופר/דימקס כפול
01,"משאבת בלם, מגבר בלם וקליפר",,010304,משאבת הגה דוקטו 2.3 מ-16
01,"משאבת בלם, מגבר בלם וקליפר",,010349,מש בלם מח איסוזו
01,"משאבת בלם, מגבר בלם וקליפר",,010352,מש בלם מח איסוזו קצר לא משפצים !!!
01,"משאבת בלם, מגבר בלם וקליפר",,010358,קליפר מחודש איסוזו
01,"משאבת בלם, מגבר בלם וקליפר",,010361,קליפר מחודש איסוזו כפול
01,"משאבת בלם, מגבר בלם וקליפר",,010364,משאבת מצמד עליונה איסוזו
01,"משאבת בלם, מגבר בלם וקליפר",,010367,משאבת מצמד תחתונה איסוזו
01,"משאבת בלם, מגבר בלם וקליפר",,010370,מפצל בלמים מח איסוזו
01,"משאבת בלם, מגבר בלם וקליפר",,01040167,מגבר בלם מחדש אופל אומגה/ אופל טיגרה
01,"משאבת בלם, מגבר בלם וקליפר",,01040179,מש בלם מח אופל אומגה
01,"משאבת בלם, מגבר בלם וקליפר",,01040191,קליפר מח אומגה
01,"משאבת בלם, מגבר בלם וקליפר",,01040352,מגבר בלם מחד אסטרה עד 98
01,"משאבת בלם, מגבר בלם וקליפר",,01040355,מגבר בלם מחד אסטרה מ-98
01,"משאבת בלם, מגבר בלם וקליפר",,01040373,מש בלם מח אסטרה / קורסה
01,"משאבת בלם, מגבר בלם וקליפר",,01040376,מש בלם מח אסטרה דגם ATE
01,"משאבת בלם, מגבר בלם וקליפר",,01040382,קליפר מח אסטרה
01,"משאבת בלם, מגבר בלם וקליפר",,01040464,מגבר בלם מח אסקונה / קדט/ קורסה
01,"משאבת בלם, מגבר בלם וקליפר",,01040470,מש בלם מחדש אופל אסקונה / קדט
01,"משאבת בלם, מגבר בלם וקליפר",,01040661,מגבר בלם מחדש אופל וקטרה
01,"משאבת בלם, מגבר בלם וקליפר",,01040688,קליפר מח וקטרה
01,"משאבת בלם, מגבר בלם וקליפר",,01041058,מגבר בלם מחדש אופל קדט / אסקונה
01,"משאבת בלם, מגבר בלם וקליפר",,01041085,קליפר מח קדט / אסקונה
01,"משאבת בלם, מגבר בלם וקליפר",,010494,מש מצמד עליונה אופל
01,"משאבת בלם, מגבר בלם וקליפר",,010497,מש מצמד תחתונה אופל
01,"משאבת בלם, מגבר בלם וקליפר",,01060501,מגבר בלם מח רובר 400 / 200
01,"משאבת בלם, מגבר בלם וקליפר",,01060513,מש בלם מח רובר 400 / 200
01,"משאבת בלם, מגבר בלם וקליפר",,01060525,קליפר מח רובר 400 / 200
01,"משאבת בלם, מגבר בלם וקליפר",,01060704,מגבר בלם מח רובר 800 / 600
01,"משאבת בלם, מגבר בלם וקליפר",,01060716,מש בלם מח רובר 800 / 600
01,"משאבת בלם, מגבר בלם וקליפר",,01060728,קליפר מח רובר 800 / 600
01,"משאבת בלם, מגבר בלם וקליפר",,0107,גוף ישן משאבת אופן
01,"משאבת בלם, מגבר בלם וקליפר",,010801,משאבת מצמד עליונה אלפא
01,"משאבת בלם, מגבר בלם וקליפר",,01080273,מגבר בלם מחודש אלפא 75
01,"משאבת בלם, מגבר בלם וקליפר",,01080282,מ.בלם מחודשת אלפא 75
01,"משאבת בלם, מגבר בלם וקליפר",,01080291,קליפר מח אלפא 75 / 33 ה
01,"משאבת בלם, מגבר בלם וקליפר",,010804,משאבת מצמד תחתונה אלפא
01,"משאבת בלם, מגבר בלם וקליפר",,01080779,מגבר בלם מח אלפא 164 / 156
01,"משאבת בלם, מגבר בלם וקליפר",,01080788,מש בלם מח אלפא 164 / 156
01,"משאבת בלם, מגבר בלם וקליפר",,01080797,קליפר מח אלפא 164 / 156
01,"משאבת בלם, מגבר בלם וקליפר",,01081376,מגבר בלם מח אלפא 147 / 146 / 145
01,"משאבת בלם, מגבר בלם וקליפר",,01081385,מש בלם מח אלפא 147 / 146 / 145
01,"משאבת בלם, מגבר בלם וקליפר",,01081394,קליפר מח אלפא 147 / 146 / 145
01,"משאבת בלם, מגבר בלם וקליפר",,0110,גוף ישן הידרו בוסטר
01,"משאבת בלם, מגבר בלם וקליפר",,01140225,מגבר בלם מח ג יפ 5-X
01,"משאבת בלם, מגבר בלם וקליפר",,01140240,מש בלם מח ג יפ 5-X
01,"משאבת בלם, מגבר בלם וקליפר",,01140252,קליפר מח ג יפ 5-X
01,"משאבת בלם, מגבר בלם וקליפר",,01140407,מגבר בלם מח סדרה 3 עד 89
01,"משאבת בלם, מגבר בלם וקליפר",,01140410,מגבר בלם מח סדרה 36-E 90+ 3
01,"משאבת בלם, מגבר בלם וקליפר",,01140413,מגבר בלם מח סדרה 46-E 98+ 3
01,"משאבת בלם, מגבר בלם וקליפר",,01140428,מש בלם מח סדרה 3 עד 89
01,"משאבת בלם, מגבר בלם וקליפר",,01140431,מש בלם מח סדרה 3 90+
01,"משאבת בלם, מגבר בלם וקליפר",,01140443,קליפר מח סדרה 3
01,"משאבת בלם, מגבר בלם וקליפר",,01140516,מגבר בלם מח סדרה 5 בודד
01,"משאבת בלם, מגבר בלם וקליפר",,01140519,מגבר בלם מח סדרה 5 כפול
01,"משאבת בלם, מגבר בלם וקליפר",,01140534,מש בלם מח סדרה 5
01,"משאבת בלם, מגבר בלם וקליפר",,01140546,קליפר מח סדרה 5
